"species","longitude","latitude"
"Cetorhinus maximus",-74.25,-42.75
"Cetorhinus maximus",-74.75,-43.25
"Cetorhinus maximus",-58.75,-52.25
"Cetorhinus maximus",-59.25,-55.25
"Cetorhinus maximus",-72.25,-55.75
"Cetorhinus maximus",-96.75,2.75
"Cetorhinus maximus",-98.75,2.75
"Cetorhinus maximus",-99.75,2.75
"Cetorhinus maximus",-98.75,3.75
"Cetorhinus maximus",-101.75,1.75
"Cetorhinus maximus",-100.75,4.75
"Cetorhinus maximus",-17.25,14.75
"Cetorhinus maximus",-19.25,14.75
"Cetorhinus maximus",-21.25,15.75
"Cetorhinus maximus",-22.75,16.25
"Cetorhinus maximus",-92.25,18.75
"Cetorhinus maximus",-107.25,19.75
"Cetorhinus maximus",-158.25,19.25
"Cetorhinus maximus",-14.75,25.75
"Cetorhinus maximus",-14.25,28.25
"Cetorhinus maximus",-16.75,25.25
"Cetorhinus maximus",-15.75,29.75
"Cetorhinus maximus",-76.75,29.75
"Cetorhinus maximus",-82.75,20.75
"Cetorhinus maximus",-82.25,22.25
"Cetorhinus maximus",-82.75,27.25
"Cetorhinus maximus",-80.25,28.75
"Cetorhinus maximus",-80.75,28.75
"Cetorhinus maximus",-80.75,29.25
"Cetorhinus maximus",-80.75,29.75
"Cetorhinus maximus",-81.25,29.75
"Cetorhinus maximus",-93.75,21.25
"Cetorhinus maximus",-93.25,29.75
"Cetorhinus maximus",-97.25,27.25
"Cetorhinus maximus",-105.75,22.25
"Cetorhinus maximus",-109.75,22.75
"Cetorhinus maximus",-111.25,24.25
"Cetorhinus maximus",-113.75,26.75
"Cetorhinus maximus",-156.25,20.75
"Cetorhinus maximus",-156.75,20.75
"Cetorhinus maximus",-9.25,32.75
"Cetorhinus maximus",-7.75,33.75
"Cetorhinus maximus",-0.75,35.75
"Cetorhinus maximus",-1.25,35.25
"Cetorhinus maximus",-2.75,35.25
"Cetorhinus maximus",-3.75,35.75
"Cetorhinus maximus",-3.25,36.75
